attendancePercentage,internalMarks,assignmentScore,cgpa,backlogCount,previousSemesterPerformance,feeStatus,familyIncomeCategory,internetAccess,extracurricularParticipation,previousCounsellingCount,dropoutRisk
83.9,53.1,64.2,7.38,1,65.3,1,1,1,2,0,1
72.5,58.4,62.3,6.6,0,57.5,0,2,1,1,0,1
86.7,55.9,65.6,7.37,1,58.9,1,2,1,1,1,1
100.0,72.1,85.5,7.96,0,67.4,0,1,1,1,0,0
70.8,61.5,58.9,7.27,2,64.4,0,0,1,0,0,1
70.8,48.9,49.6,7.26,0,57.4,0,1,1,1,0,1
100.0,56.2,97.6,6.22,0,44.4,0,0,1,0,1,0
88.8,48.7,72.2,6.27,1,67.8,0,1,1,0,0,1
66.5,51.6,48.9,5.24,2,42.5,0,1,1,1,0,1
84.8,82.0,72.7,9.65,1,81.5,2,2,1,0,0,0
66.7,49.6,62.3,5.46,3,55.7,0,2,1,1,0,1
66.6,45.3,44.2,6.23,0,79.5,1,1,1,1,0,1
79.4,47.9,73.9,6.19,3,45.8,2,0,1,1,2,1
40.6,68.2,32.9,8.45,2,75.8,0,2,1,0,1,1
44.0,64.5,62.9,6.79,1,54.3,0,0,1,0,1,1
64.9,89.5,65.7,8.95,1,72.8,0,1,1,1,1,0
56.8,46.7,50.7,6.26,2,50.0,0,0,1,2,0,1
80.7,73.1,64.0,7.59,1,57.8,0,1,1,0,0,0
58.7,33.9,55.0,6.03,2,53.0,2,2,1,0,0,1
49.6,75.4,55.8,10.0,0,74.7,0,0,1,2,0,0
100.0,39.4,84.7,5.54,1,55.9,0,1,1,0,0,1
70.9,54.1,62.5,7.63,2,66.5,0,1,0,2,0,1
76.2,56.1,68.9,8.09,0,72.7,1,2,1,1,1,0
49.4,69.4,43.5,7.78,2,64.0,0,2,1,1,1,1
65.2,57.3,57.2,6.94,2,58.0,0,0,1,0,2,1
77.0,62.7,48.0,7.02,0,63.2,0,0,1,0,1,1
54.3,67.2,62.7,7.26,1,54.9,0,1,1,0,1,1
81.8,61.6,75.2,6.99,0,58.4,2,1,1,2,0,0
64.2,77.9,52.2,8.55,2,67.4,1,1,1,1,0,1
69.7,84.4,82.8,10.0,0,78.8,0,0,1,1,0,0
64.2,45.1,60.8,6.42,0,41.6,0,0,1,1,0,1
100.0,53.4,74.6,5.28,0,56.6,0,1,1,0,1,1
74.8,55.4,75.9,7.08,0,56.8,0,0,1,1,0,1
56.0,77.5,58.2,10.0,0,93.1,0,2,0,1,0,0
89.8,50.2,81.8,6.07,2,61.1,0,0,0,1,0,1
53.0,73.4,47.9,9.49,1,72.0,0,0,0,0,0,1
78.8,77.8,74.6,9.55,5,73.8,2,2,1,1,1,1
39.7,57.4,40.2,6.42,0,74.3,0,1,0,2,0,1
51.1,70.8,56.3,8.0,3,81.2,2,1,1,1,0,1
78.5,73.4,50.9,9.48,0,80.6,0,0,1,0,0,0
88.3,52.8,72.5,6.67,2,60.2,0,1,1,1,1,1
78.1,67.4,86.9,6.91,1,55.9,1,1,1,0,0,1
72.9,58.2,58.4,6.39,2,59.1,0,1,1,1,0,1
69.6,65.7,57.7,5.78,2,46.2,0,2,1,2,0,1
48.4,62.9,44.4,6.29,0,41.1,0,1,1,1,0,1
